"_id","count","duplicated","ip","netaddr","port","tag"
"624152a9f2360000a8006fc9","1","0","0000:0000:0000:0000:0000:ffff:17af:00d4","[{""time"":1648034132,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:17af:00d4"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:17af:00d4"",""from_time"":1648034128903}]"
"624152a9f2360000a8006fca","1","0","0000:0000:0000:0000:0000:ffff:5ee7:fd12","[{""time"":1648031804,""services"":1101,""ip"":""0000:0000:0000:0000:0000:ffff:5ee7:fd12"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:5ee7:fd12"",""from_time"":1648031804521}]"
"624152a9f2360000a8006fcb","1","0","0000:0000:0000:0000:0000:ffff:23cb:0424","[{""time"":1648030284,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:23cb:0424"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:23cb:0424"",""from_time"":1648030284248}]"
"624152a9f2360000a8006fcd","2","1","0000:0000:0000:0000:0000:ffff:1766:9fc9","[{""time"":1648037687,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:1766:9fc9"",""port"":8333},{""time"":1648041153,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:1766:9fc9"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:1766:9fc9"",""from_time"":1648037687903},{""from_ip"":""0000:0000:0000:0000:0000:ffff:1766:9fc9"",""from_time"":1648041153250}]"
"624152a9f2360000a8006fce","1","0","0000:0000:0000:0000:0000:ffff:4255:ea81","[{""time"":1648030163,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4255:ea81"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4255:ea81"",""from_time"":1648029954294}]"
"624152a9f2360000a8006fcf","1","0","0000:0000:0000:0000:0000:ffff:8837:0d09","[{""time"":1648031394,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:8837:0d09"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:8837:0d09"",""from_time"":1648031392579}]"
"624152a9f2360000a8006fd0","1","0","0000:0000:0000:0000:0000:ffff:9f64:f9b3","[{""time"":1648044701,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:9f64:f9b3"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:9f64:f9b3"",""from_time"":1648044701931}]"
"624152a9f2360000a8006fd1","1","0","0000:0000:0000:0000:0000:ffff:343c:85a6","[{""time"":1648038692,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:343c:85a6"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:343c:85a6"",""from_time"":1648038692959}]"
"624152a9f2360000a8006fd2","2","1","0000:0000:0000:0000:0000:ffff:86d1:7f9b","[{""time"":1648040612,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:86d1:7f9b"",""port"":8333},{""time"":1648044451,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:86d1:7f9b"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:86d1:7f9b"",""from_time"":1648040611899},{""from_ip"":""0000:0000:0000:0000:0000:ffff:86d1:7f9b"",""from_time"":1648044450507}]"
"624152a9f2360000a8006fd4","1","0","0000:0000:0000:0000:0000:ffff:5113:0a02","[{""time"":1648031738,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:5113:0a02"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:5113:0a02"",""from_time"":1648031743753}]"
